Date,Open,High,Low,Close,Volume
2024-11-19,99.91,99.94,99.21,99.86,323
2024-11-20,99.87,101.02,98.87,100.16,203
2024-11-21,99.98,100.28,99.82,100.00,661
2024-11-22,101.01,102.31,99.89,100.48,820
2024-11-23,100.87,101.02,100.77,100.56,601
2024-11-24,99.81,100.59,98.64,99.94,710
2024-11-25,100.32,100.86,99.57,101.32,799
2024-11-26,101.00,103.05,97.94,101.13,776
2024-11-27,101.53,102.82,101.19,101.64,294
2024-11-28,100.82,101.67,100.07,101.12,249
2024-11-29,101.52,103.00,99.63,101.84,720
2024-11-30,101.53,104.02,101.39,101.27,762
2024-12-01,100.96,102.38,100.41,100.84,849
2024-12-02,100.58,100.97,98.39,100.87,265
2024-12-03,100.69,100.99,99.63,100.51,620
2024-12-04,101.53,102.09,99.61,101.49,856
2024-12-05,100.95,101.31,100.34,101.25,524
2024-12-06,101.52,102.27,101.21,102.71,132
2024-12-07,102.43,102.84,101.03,102.18,640
2024-12-08,101.60,101.92,100.93,101.71,722
2024-12-09,102.73,102.92,102.02,102.07,766
2024-12-10,102.21,102.81,101.68,102.20,569
2024-12-11,102.39,102.47,102.24,101.94,908
2024-12-12,101.82,102.28,101.59,102.35,977
2024-12-13,102.37,102.62,102.21,103.04,961
2024-12-14,103.04,103.94,102.33,103.32,754
2024-12-15,102.99,103.21,102.86,103.23,185
2024-12-16,102.31,102.49,102.05,101.76,312
2024-12-17,102.44,103.69,101.07,101.60,599
2024-12-18,101.09,103.62,101.00,100.79,610
2024-12-19,101.71,102.78,101.09,101.39,995
2024-12-20,100.43,101.83,98.49,100.25,252
2024-12-21,100.84,101.20,100.79,100.88,178
2024-12-22,100.34,101.31,100.19,100.10,971
2024-12-23,99.71,100.28,97.38,100.09,492
2024-12-24,99.64,101.01,99.54,100.21,255
2024-12-25,100.62,102.12,100.55,100.72,431
2024-12-26,99.97,100.40,99.04,100.81,578
2024-12-27,102.29,102.81,102.02,101.64,480
2024-12-28,102.05,102.58,101.81,102.12,195
2024-12-29,102.34,102.43,101.18,101.70,259
2024-12-30,101.56,101.81,100.93,101.44,719
2024-12-31,101.17,101.33,100.69,99.74,666
2025-01-01,99.88,100.05,99.12,98.98,398
2025-01-02,98.66,100.21,98.04,98.21,526
2025-01-03,98.45,98.81,97.16,97.81,527
2025-01-04,97.73,98.33,96.04,96.73,508
2025-01-05,96.26,96.83,95.59,95.22,559
2025-01-06,94.48,94.96,92.47,94.40,878
2025-01-07,95.27,95.71,93.67,95.59,864
2025-01-08,95.30,95.46,94.57,95.00,355
2025-01-09,94.79,94.84,94.50,95.27,552
2025-01-10,94.97,96.91,94.47,94.04,462
2025-01-11,94.48,95.43,94.47,95.19,246
2025-01-12,95.41,95.62,94.97,96.03,785
2025-01-13,95.89,96.98,94.44,95.42,833
2025-01-14,95.24,96.55,95.04,95.62,232
